day,method,obs_idx
2024-03-27,lee_mykland,23548
2024-03-27,lee_mykland,23576
2024-03-27,lee_mykland,23646
2024-03-27,lee_mykland,23714
2024-03-27,lee_mykland,23851
2024-03-27,lee_mykland,23982
2024-03-27,lee_mykland,24014
2024-03-27,lee_mykland,24075
2024-03-27,lee_mykland,24123
2024-03-27,lee_mykland,24198
2024-03-27,lee_mykland,24442
2024-03-27,lee_mykland,24486
2024-03-27,lee_mykland,24523
2024-03-27,lee_mykland,24525
2024-03-27,lee_mykland,24529
2024-03-27,lee_mykland,24564
2024-03-27,lee_mykland,24789
2024-03-27,lee_mykland,24911
2024-03-27,lee_mykland,24930
2024-03-27,lee_mykland,24978
2024-03-27,lee_mykland,24989
2024-03-27,lee_mykland,25025
2024-03-27,lee_mykland,25050
2024-03-27,lee_mykland,25055
2024-03-27,lee_mykland,25064
2024-03-27,lee_mykland,25065
2024-03-27,lee_mykland,25074
2024-03-27,lee_mykland,25127
2024-03-27,lee_mykland,25164
2024-03-27,lee_mykland,25255
2024-03-27,lee_mykland,25272
2024-03-27,lee_mykland,25302
2024-03-27,lee_mykland,25391
2024-03-27,lee_mykland,25444
2024-03-27,lee_mykland,25479
2024-03-27,lee_mykland,25561
2024-03-27,lee_mykland,25692
2024-03-27,lee_mykland,25773
2024-03-27,lee_mykland,25791
2024-03-27,lee_mykland,25796
2024-03-27,lee_mykland,25803
2024-03-27,lee_mykland,25821
2024-03-27,lee_mykland,25831
2024-03-27,lee_mykland,25848
2024-03-27,lee_mykland,25851
2024-03-27,lee_mykland,25853
2024-03-27,lee_mykland,25891
2024-03-27,lee_mykland,25920
2024-03-27,lee_mykland,25937
2024-03-27,lee_mykland,25945
2024-03-27,lee_mykland,25967
2024-03-27,lee_mykland,26187
2024-03-27,lee_mykland,26260
2024-03-27,lee_mykland,26305
2024-03-27,lee_mykland,26644
2024-03-27,lee_mykland,26686
2024-03-27,lee_mykland,26726
2024-03-27,lee_mykland,26752
2024-03-27,lee_mykland,26768
2024-03-27,lee_mykland,26778
2024-03-27,lee_mykland,27000
2024-03-27,lee_mykland,27091
2024-03-27,lee_mykland,27476
2024-03-27,lee_mykland,27703
2024-03-27,lee_mykland,27762
2024-03-27,lee_mykland,27957
2024-03-27,lee_mykland,27968
2024-03-27,lee_mykland,28027
2024-03-27,lee_mykland,28081
2024-03-27,lee_mykland,28201
2024-03-27,lee_mykland,28356
2024-03-27,lee_mykland,28357
2024-03-27,lee_mykland,29273
2024-03-27,lee_mykland,29375
2024-03-27,lee_mykland,29612
2024-03-27,lee_mykland,29725
2024-03-27,lee_mykland,29758
2024-03-27,lee_mykland,29761
2024-03-27,lee_mykland,29949
2024-03-27,lee_mykland,30008
2024-03-27,lee_mykland,30064
2024-03-27,lee_mykland,30251
2024-03-27,lee_mykland,30520
2024-03-27,lee_mykland,30651
2024-03-27,lee_mykland,30659
2024-03-27,lee_mykland,30661
2024-03-27,lee_mykland,30698
2024-03-27,lee_mykland,30731
2024-03-27,lee_mykland,30734
2024-03-27,lee_mykland,30735
2024-03-27,lee_mykland,30809
2024-03-27,lee_mykland,30931
2024-03-27,lee_mykland,30994
2024-03-27,lee_mykland,31049
2024-03-27,lee_mykland,31055
2024-03-27,lee_mykland,31103
2024-03-27,lee_mykland,31109
2024-03-27,lee_mykland,31159
2024-03-27,lee_mykland,31160
2024-03-27,lee_mykland,31177
2024-03-27,lee_mykland,31217
2024-03-27,lee_mykland,31331
2024-03-27,lee_mykland,31360
2024-03-27,lee_mykland,31405
2024-03-27,lee_mykland,31455
2024-03-27,lee_mykland,31503
2024-03-27,lee_mykland,31578
2024-03-27,lee_mykland,31675
2024-03-27,lee_mykland,31848
2024-03-27,lee_mykland,31853
2024-03-27,lee_mykland,31863
2024-03-27,lee_mykland,31923
2024-03-27,lee_mykland,32276
2024-03-27,lee_mykland,32580
2024-03-27,lee_mykland,32616
2024-03-27,lee_mykland,32666
2024-03-27,lee_mykland,32777
2024-03-27,lee_mykland,32778
2024-03-27,lee_mykland,33078
2024-03-27,lee_mykland,33100
2024-03-27,lee_mykland,33366
2024-03-27,lee_mykland,33400
2024-03-27,lee_mykland,33417
2024-03-27,lee_mykland,33773
2024-03-27,lee_mykland,33870
2024-03-27,lee_mykland,33980
2024-03-27,lee_mykland,33985
2024-03-27,lee_mykland,34000
2024-03-27,lee_mykland,34049
2024-03-27,lee_mykland,34078
2024-03-27,lee_mykland,34080
2024-03-27,lee_mykland,34089
2024-03-27,lee_mykland,34117
2024-03-27,lee_mykland,34118
2024-03-27,lee_mykland,34141
2024-03-27,lee_mykland,34142
2024-03-27,lee_mykland,34300
2024-03-27,lee_mykland,34461
2024-03-27,lee_mykland,35133
2024-03-27,lee_mykland,35141
2024-03-27,lee_mykland,35173
2024-03-27,lee_mykland,35404
2024-03-27,lee_mykland,35656
2024-03-27,lee_mykland,35717
2024-03-27,lee_mykland,35739
2024-03-27,lee_mykland,35740
2024-03-27,lee_mykland,35798
2024-03-27,lee_mykland,35809
2024-03-27,lee_mykland,35811
2024-03-27,lee_mykland,36110
2024-03-27,lee_mykland,36120
2024-03-27,lee_mykland,36198
2024-03-27,lee_mykland,36432
2024-03-27,lee_mykland,36473
2024-03-27,lee_mykland,36487
2024-03-27,lee_mykland,36491
2024-03-27,lee_mykland,36541
2024-03-27,lee_mykland,36830
2024-03-27,lee_mykland,36839
2024-03-27,lee_mykland,36912
2024-03-27,lee_mykland,37116
2024-03-27,lee_mykland,37630
2024-03-27,lee_mykland,37645
2024-03-27,lee_mykland,37984
2024-03-27,lee_mykland,38050
2024-03-27,lee_mykland,38106
2024-03-27,lee_mykland,38115
2024-03-27,lee_mykland,38215
2024-03-27,lee_mykland,38220
2024-03-27,lee_mykland,38255
2024-03-27,lee_mykland,38256
2024-03-27,lee_mykland,38295
2024-03-27,lee_mykland,38922
2024-03-27,lee_mykland,38924
2024-03-27,lee_mykland,39066
2024-03-27,lee_mykland,39208
2024-03-27,lee_mykland,39217
2024-03-27,lee_mykland,39247
2024-03-27,lee_mykland,39276
2024-03-27,lee_mykland,39501
