ok,n_jumps,mu,alpha,beta,branching,logL_hawkes,mu_poisson,logL_poisson,LR,p_value,symbol,day
True,58,0.00030336844755268446,0.0014598675972141157,0.002646481474939784,0.5516258515459029,-452.1226119318248,0.0006712962962962962,-481.7653967662522,59.285569668854805,1.3378187446733136e-13,ETHUSDT,2026-05-02
True,67,0.00021544297950159812,0.0008824504929673548,0.0012134861517534084,0.727202771693992,-508.70300348905687,0.0007754629629629629,-546.8573724718792,76.3087379656447,0.0,ETHUSDT,2026-05-03
True,42,0.0001554157320436209,0.0009540547540227858,0.0014024279250542796,0.6802879042684921,-341.1029019102666,0.0004861111111111111,-362.4210801333687,42.63635644620422,5.516108680936327e-10,ETHUSDT,2026-05-04
True,32,0.00020235945751292413,0.0009833001636392197,0.002167609068887817,0.4536335346408858,-271.5479031892349,0.00037037037037037035,-284.83222566375747,26.568644949045165,1.7009519814870089e-06,ETHUSDT,2026-05-05
True,34,0.0002457000892616506,0.002491915796027102,0.006633920942752593,0.3756324227453242,-288.2394149525991,0.0003935185185185185,-300.5730026259835,24.667175346768886,4.401400935050148e-06,ETHUSDT,2026-05-06
True,30,0.0001790369410802528,0.0013767909342955573,0.002842415664835842,0.484373538792424,-256.9136234589557,0.00034722222222222224,-268.96636719389977,24.10548746988809,5.828541648544849e-06,ETHUSDT,2026-05-07
True,25,0.00010329252484625604,0.00034592256845678644,0.0005374914846839475,0.6435870675424631,-222.15908583682844,0.00028935185185185184,-228.69667824809866,13.07518482254045,0.0014479704230897505,ETHUSDT,2026-05-08
True,15,0.0001284358783234836,0.002035432805809821,0.007822282936591445,0.2602095605987834,-140.3500475146313,0.00017361111111111112,-144.88039130534906,9.060687581435502,0.01077697041340031,ETHUSDT,2026-05-09
True,78,6.964879256071601e-05,0.0005353623775511967,0.0005427729525308768,0.9863468233906543,-549.7727212017944,0.0009027777777777777,-624.7826619919994,150.0198815804099,0.0,ETHUSDT,2026-05-10
True,35,0.0001737718319196567,0.0009895130117652294,0.0017328501070714509,0.5710320862301962,-293.8869138079743,0.0004050925925925926,-308.39882126559564,29.023814915242724,4.983777777134435e-07,ETHUSDT,2026-05-11
True,36,0.0002456941686169046,0.0014868967600093041,0.0036236248376393327,0.41033407889376494,-304.1688259281632,0.0004166666666666667,-316.19606458809733,24.054477319868283,5.97911101984927e-06,ETHUSDT,2026-05-12
True,31,0.00011106323978174431,0.0014652084435285903,0.0021220874227066344,0.690456212053591,-250.44876796907067,0.0003587962962962963,-276.91542825951706,52.93332058089277,3.2038816044632767e-12,ETHUSDT,2026-05-13
True,34,0.000129223553487587,0.00028906171748932323,0.0004215223699736964,0.6857565293803057,-290.12209949101964,0.0003935185185185185,-300.5730026259835,20.90180626992776,2.8922140902776228e-05,ETHUSDT,2026-05-14
True,93,0.0004271412130151024,0.0005875665871493428,0.0009741269722129702,0.6031724856304307,-708.9809057405017,0.0010763888888888889,-728.5753419324168,39.18887238383013,3.0920356275387917e-09,SOLUSDT,2026-05-01
True,34,0.00011790451888819175,0.0019474582725357286,0.002733729016465062,0.7123816079817427,-267.5236744298435,0.0003935185185185185,-300.5730026259835,66.09865639228008,4.440892098500626e-15,SOLUSDT,2026-05-02
True,43,0.00014290588006580883,0.0006405051002223547,0.0008917736278354051,0.718237319685095,-341.62962864063394,0.0004976851851851852,-370.03834208123914,56.817426881210395,4.594102875898898e-13,SOLUSDT,2026-05-03
True,49,0.00018942867822128418,0.0016895683996359504,0.0025369389054102276,0.6659870271344766,-384.86198455456537,0.0005671296296296297,-415.2712101773945,60.81845124565825,6.217248937900877e-14,SOLUSDT,2026-05-04
True,17,0.00013155071345319236,0.0037757009259263164,0.011392737990947121,0.33141295173526836,-151.4476328912252,0.00019675925925925926,-162.07000338251083,21.244740982571273,2.436481459233697e-05,SOLUSDT,2026-05-05
True,39,0.0002099914923164812,0.0005972997869123075,0.001115986978904285,0.5352211075963963,-324.6467944138958,0.00045138888888888887,-339.4240710378375,29.554553247883405,3.822172686129832e-07,SOLUSDT,2026-05-06
True,49,0.00035030750278945987,0.0005375294572335621,0.0014059640886771691,0.3823209010546692,-410.33633928279556,0.0005671296296296297,-415.2712101773945,9.86974178919786,0.007191389333169318,SOLUSDT,2026-05-07
True,39,0.00014860929254116985,0.0008050998312311623,0.0012002570338403103,0.6707728499246419,-322.36999513559084,0.00045138888888888887,-339.4240710378375,34.10815180449333,3.922012214996329e-08,SOLUSDT,2026-05-08
True,15,9.363463362521708e-05,0.0011069818199780758,0.0024030095039270453,0.460664769810117,-135.68142751846088,0.00017361111111111112,-144.88039130534906,18.39792757377637,0.00010114415445372504,SOLUSDT,2026-05-09
True,78,0.00012379385657208247,0.00035526651704707564,0.0003854045481524566,0.9218015686377965,-578.3644819906998,0.0009027777777777777,-624.7826619919994,92.83636000259912,0.0,SOLUSDT,2026-05-10
True,30,8.148414244571613e-05,0.00033533021907516686,0.0004380850292421866,0.7654455110123981,-257.8682742725445,0.00034722222222222224,-268.96636719389977,22.19618584271052,1.514117170875462e-05,SOLUSDT,2026-05-11
True,56,0.0001620203780316601,0.0005592084337620527,0.0007439261520824736,0.7516988510172141,-444.3152671698882,0.0006481481481481481,-467.1179107871919,45.60528723460732,1.2500800394832368e-10,SOLUSDT,2026-05-12
True,46,8.374156803123138e-05,0.0005800223016855967,0.0006882809199388239,0.842711580232604,-358.1149296816368,0.0005324074074074074,-392.7526716819404,69.27548400060721,8.881784197001252e-16,SOLUSDT,2026-05-13
True,41,0.0001788972677675374,0.00040246393742178455,0.0006369135623826961,0.6318972639178312,-343.57939640872064,0.00047453703703703704,-354.7800064116014,22.401220005761502,1.3665857310329876e-05,SOLUSDT,2026-05-14
